                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                 1.3546,                0.98608,                 1.2443,                0.72517,                0.58162,                0.66028,                0.35308,                 1.6235,                 1.1382,                 1.3923,              0.0090397,              0.0090397,              0.0090397
                    100,                 1.3433,                0.96896,                 1.2367,                0.65941,                0.61102,                0.65826,                0.35003,                 1.6313,                 1.1636,                 1.3917,              0.0090298,              0.0090298,              0.0090298
                    101,                 1.3411,                 0.9706,                 1.2291,                0.71329,                0.59238,                0.65967,                0.35312,                  1.612,                 1.1496,                 1.3923,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.3463,                0.97271,                  1.239,                0.70262,                 0.5878,                0.65546,                0.35507,                 1.6139,                 1.1707,                 1.3779,                0.00901,                0.00901,                0.00901
                    103,                 1.3462,                0.97669,                 1.2355,                0.70225,                0.61102,                0.66728,                0.35667,                 1.6104,                 1.1451,                  1.384,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.3309,                0.95961,                 1.2285,                0.70363,                0.59238,                0.66003,                0.35739,                  1.606,                 1.1305,                 1.3878,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.3376,                0.96004,                 1.2303,                0.72638,                 0.5859,                0.66137,                0.35503,                 1.6027,                 1.1446,                 1.3841,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.3245,                0.95814,                 1.2234,                0.68865,                0.61301,                0.67211,                0.36282,                 1.6063,                 1.1367,                 1.3782,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.3181,                0.96224,                 1.2219,                0.70156,                 0.6094,                0.67407,                 0.3629,                 1.6088,                 1.1287,                 1.3839,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.3217,                0.94929,                 1.2176,                0.71293,                0.60454,                0.67327,                0.36272,                 1.6078,                 1.1411,                 1.3809,              0.0089506,              0.0089506,              0.0089506
                    109,                  1.319,                  0.945,                 1.2217,                0.68989,                0.60394,                0.66715,                0.36168,                 1.6043,                  1.124,                  1.386,              0.0089407,              0.0089407,              0.0089407
                    110,                  1.316,                0.94486,                 1.2211,                0.68772,                0.61569,                0.67117,                 0.3604,                 1.6045,                 1.1271,                 1.3736,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.3175,                0.95404,                 1.2222,                0.71118,                0.62856,                0.68068,                 0.3663,                 1.5973,                 1.1168,                  1.368,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.3236,                0.94701,                 1.2215,                0.72986,                0.63695,                0.68745,                0.36668,                 1.5861,                 1.1065,                 1.3684,               0.008911,               0.008911,               0.008911
                    113,                 1.3108,                0.95015,                 1.2142,                0.70119,                0.63047,                0.68407,                0.36846,                 1.5964,                  1.115,                 1.3758,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.3111,                0.94239,                 1.2135,                0.70472,                 0.6329,                0.68081,                 0.3704,                 1.5982,                 1.1141,                 1.3825,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.3071,                0.92149,                 1.2112,                0.72625,                0.62318,                0.68364,                0.37079,                 1.5923,                 1.1202,                 1.3693,              0.0088813,              0.0088813,              0.0088813
                    116,                 1.3106,                0.93845,                 1.2171,                 0.7046,                0.61021,                0.67892,                0.36738,                 1.5889,                 1.1217,                 1.3688,              0.0088714,              0.0088714,              0.0088714
                    117,                 1.2962,                0.92104,                 1.2066,                0.72475,                0.60373,                0.68153,                0.36798,                 1.5957,                 1.1147,                 1.3623,              0.0088615,              0.0088615,              0.0088615
